Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
01/01/2023	1	1	1	2	30000
01/02/2023	2	2	2	1	12000
01/03/2023	3	3	3	1	13000
01/04/2023	4	4	4	2	50000
01/05/2023	5	1	5	1	23000
01/06/2023	1	1	6	2	54000
01/07/2023	2	2	7	1	16000
01/08/2023	3	3	8	1	14000
01/09/2023	4	4	9	2	34000
01/10/2023	5	1	10	1	18000
01/11/2023	1	1	1	1	15000
01/12/2023	2	2	2	1	12000
01/13/2023	3	3	3	2	26000
01/14/2023	4	4	4	1	25000
01/15/2023	5	1	5	1	23000
01/16/2023	1	1	6	2	54000
01/17/2023	2	2	7	1	16000
01/18/2023	3	3	8	1	14000
01/19/2023	4	4	9	2	34000
01/20/2023	5	1	10	1	18000
01/21/2023	1	1	1	1	15000
01/22/2023	2	2	2	1	12000
01/23/2023	3	3	3	1	13000
01/24/2023	4	4	4	2	50000
01/25/2023	5	1	5	1	23000
01/26/2023	1	1	6	2	54000
01/27/2023	2	2	7	1	16000
01/28/2023	3	3	8	1	14000
01/29/2023	4	4	9	2	34000
01/30/2023	5	1	10	1	18000
01/31/2023	1	1	1	1	15000
