Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
02/01/2023	1	1	1	2	30000
02/02/2023	2	2	2	1	12000
02/03/2023	3	3	3	1	13000
02/04/2023	4	4	4	2	50000
02/05/2023	5	1	5	1	23000
02/06/2023	1	1	6	2	54000
02/07/2023	2	2	7	1	16000
02/08/2023	3	3	8	1	14000
02/09/2023	4	4	9	2	34000
02/10/2023	5	1	10	1	18000
02/11/2023	1	1	1	1	15000
02/12/2023	2	2	2	1	12000
02/13/2023	3	3	3	2	26000
02/14/2023	4	4	4	1	25000
02/15/2023	5	1	5	1	23000
02/16/2023	1	1	6	2	54000
02/17/2023	2	2	7	1	16000
02/18/2023	3	3	8	1	14000
02/19/2023	4	4	9	2	34000
02/20/2023	5	1	10	1	18000
02/21/2023	1	1	1	1	15000
02/22/2023	2	2	2	1	12000
02/23/2023	3	3	3	1	13000
02/24/2023	4	4	4	2	50000
02/25/2023	5	1	5	1	23000
02/26/2023	1	1	6	2	54000
02/27/2023	2	2	7	1	16000
02/28/2023	3	3	8	1	14000
