Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
07/01/2023	1	1	1	1	15000
07/02/2023	2	2	2	2	24000
07/03/2023	3	3	3	1	13000
07/04/2023	4	4	4	2	50000
07/05/2023	5	1	5	1	23000
07/06/2023	1	1	6	2	54000
07/07/2023	2	2	7	1	16000
07/08/2023	3	3	8	1	14000
07/09/2023	4	4	9	2	34000
07/10/2023	5	1	10	1	18000
07/11/2023	1	1	1	2	30000
07/12/2023	2	2	2	1	12000
07/13/2023	3	3	3	1	13000
07/14/2023	4	4	4	2	50000
07/15/2023	5	1	5	1	23000
07/16/2023	1	1	6	2	54000
07/17/2023	2	2	7	1	16000
07/18/2023	3	3	8	1	14000
07/19/2023	4	4	9	2	34000
07/20/2023	5	1	10	1	18000
07/21/2023	1	1	1	1	15000
07/22/2023	2	2	2	1	12000
07/23/2023	3	3	3	2	26000
07/24/2023	4	4	4	1	25000
07/25/2023	5	1	5	1	23000
07/26/2023	1	1	6	2	54000
07/27/2023	2	2	7	1	16000
07/28/2023	3	3	8	1	14000
07/29/2023	4	4	9	2	34000
07/30/2023	5	1	10	1	18000
07/31/2023	1	1	1	1	15000
