Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
05/01/2023	1	1	1	1	15000
05/02/2023	2	2	2	2	24000
05/03/2023	3	3	3	1	13000
05/04/2023	4	4	4	2	50000
05/05/2023	5	1	5	1	23000
05/06/2023	1	1	6	2	54000
05/07/2023	2	2	7	1	16000
05/08/2023	3	3	8	1	14000
05/09/2023	4	4	9	2	34000
05/10/2023	5	1	10	1	18000
05/11/2023	1	1	1	2	30000
05/12/2023	2	2	2	1	12000
05/13/2023	3	3	3	1	13000
05/14/2023	4	4	4	2	50000
05/15/2023	5	1	5	1	23000
05/16/2023	1	1	6	2	54000
05/17/2023	2	2	7	1	16000
05/18/2023	3	3	8	1	14000
05/19/2023	4	4	9	2	34000
05/20/2023	5	1	10	1	18000
05/21/2023	1	1	1	1	15000
05/22/2023	2	2	2	1	12000
05/23/2023	3	3	3	2	26000
05/24/2023	4	4	4	1	25000
05/25/2023	5	1	5	1	23000
05/26/2023	1	1	6	2	54000
05/27/2023	2	2	7	1	16000
05/28/2023	3	3	8	1	14000
05/29/2023	4	4	9	2	34000
05/30/2023	5	1	10	1	18000
05/31/2023	1	1	1	2	30000
