Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
11/01/2023	1	1	1	2	30000
11/02/2023	2	2	2	3	45000
11/03/2023	3	3	3	1	13000
11/04/2023	4	4	4	2	50000
11/05/2023	5	1	5	2	46000
11/06/2023	1	1	6	1	27000
11/07/2023	2	2	7	3	48000
11/08/2023	3	3	8	2	28000
11/09/2023	4	4	9	1	17000
11/10/2023	5	1	10	2	36000
11/11/2023	1	1	1	1	15000
11/12/2023	2	2	2	2	30000
11/13/2023	3	3	3	3	39000
11/14/2023	4	4	4	1	25000
11/15/2023	5	1	5	1	23000
11/16/2023	1	1	6	1	27000
11/17/2023	2	2	7	2	32000
11/18/2023	3	3	8	3	42000
11/19/2023	4	4	9	1	17000
11/20/2023	5	1	10	2	36000
11/21/2023	1	1	1	1	15000
11/22/2023	2	2	2	2	30000
11/23/2023	3	3	3	3	39000
11/24/2023	4	4	4	2	50000
11/25/2023	5	1	5	2	46000
11/26/2023	1	1	6	1	27000
11/27/2023	2	2	7	1	16000
11/28/2023	3	3	8	1	14000
11/29/2023	4	4	9	2	34000
11/30/2023	5	1	10	1	18000
