Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
02/01/2022	1	3	1	1	15000
02/02/2022	2	4	2	1	12000
02/03/2022	3	1	3	1	13000
02/04/2022	4	2	4	2	50000
02/05/2022	5	3	5	2	46000
02/06/2022	1	3	6	1	27000
02/07/2022	2	4	7	1	16000
02/08/2022	3	1	8	1	14000
02/09/2022	4	2	9	1	17000
02/10/2022	5	3	10	1	18000
02/11/2022	1	3	1	2	30000
02/12/2022	2	4	2	2	24000
02/13/2022	3	1	3	1	13000
02/14/2022	4	2	4	3	75000
02/15/2022	5	3	5	1	23000
02/16/2022	1	3	6	1	27000
02/17/2022	2	4	7	1	16000
02/18/2022	3	1	8	2	28000
02/19/2022	4	2	9	2	34000
02/20/2022	5	3	10	1	18000
02/21/2022	1	3	1	1	15000
02/22/2022	2	4	2	1	12000
02/23/2022	3	1	3	1	13000
02/24/2022	4	2	4	1	25000
02/25/2022	5	3	5	1	23000
