Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
01/01/2022	1	3	1	2	30000
01/02/2022	2	4	2	1	12000
01/03/2022	3	1	3	1	13000
01/04/2022	4	2	4	3	75000
01/05/2022	5	3	5	1	23000
01/06/2022	1	3	6	1	27000
01/07/2022	2	4	7	1	16000
01/08/2022	3	1	8	2	28000
01/09/2022	4	2	9	1	17000
01/10/2022	5	3	10	1	18000
01/11/2022	1	3	1	1	15000
01/12/2022	2	4	2	2	24000
01/13/2022	3	1	3	1	13000
01/14/2022	4	2	4	1	25000
01/15/2022	5	3	5	2	46000
01/16/2022	1	3	6	1	27000
01/17/2022	2	4	7	1	16000
01/18/2022	3	1	8	1	14000
01/19/2022	4	2	9	2	34000
01/20/2022	5	3	10	1	18000
01/21/2022	1	3	1	1	15000
01/22/2022	2	4	2	1	12000
01/23/2022	3	1	3	1	13000
01/24/2022	4	2	4	2	50000
01/25/2022	5	3	5	1	23000
