Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
06/01/2022	1	1	1	1	15000
06/02/2022	2	2	2	1	12000
06/03/2022	3	3	3	1	13000
06/04/2022	4	4	4	2	50000
06/05/2022	5	1	5	1	23000
06/06/2022	1	1	6	2	54000
06/07/2022	2	2	7	1	16000
06/08/2022	3	3	8	1	14000
06/09/2022	4	4	9	2	34000
06/10/2022	5	1	10	1	18000
06/11/2022	1	1	1	1	15000
06/12/2022	2	2	2	1	12000
06/13/2022	3	3	3	2	26000
06/14/2022	4	4	4	1	25000
06/15/2022	5	1	5	1	23000
06/16/2022	1	1	6	2	54000
06/17/2022	2	2	7	1	16000
06/18/2022	3	3	8	1	14000
06/19/2022	4	4	9	2	34000
06/20/2022	5	1	10	1	18000
06/21/2022	1	1	1	1	15000
06/22/2022	2	2	2	1	12000
06/23/2022	3	3	3	1	13000
06/24/2022	4	4	4	2	50000
06/25/2022	5	1	5	1	23000
06/26/2022	1	1	6	2	54000
06/27/2022	2	2	7	1	16000
06/28/2022	3	3	8	1	14000
06/29/2022	4	4	9	2	34000
06/30/2022	5	1	10	1	18000
