Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
08/01/2022	1	1	1	1	15000
08/02/2022	2	2	2	1	12000
08/03/2022	3	3	3	1	13000
08/04/2022	4	4	4	2	50000
08/05/2022	5	1	5	1	23000
08/06/2022	1	1	6	2	54000
08/07/2022	2	2	7	1	16000
08/08/2022	3	3	8	1	14000
08/09/2022	4	4	9	2	34000
08/10/2022	5	1	10	1	18000
08/11/2022	1	1	1	1	15000
08/12/2022	2	2	2	1	12000
08/13/2022	3	3	3	2	26000
08/14/2022	4	4	4	1	25000
08/15/2022	5	1	5	1	23000
08/16/2022	1	1	6	2	54000
08/17/2022	2	2	7	1	16000
08/18/2022	3	3	8	1	14000
08/19/2022	4	4	9	2	34000
08/20/2022	5	1	10	1	18000
08/21/2022	1	1	1	1	15000
08/22/2022	2	2	2	1	12000
08/23/2022	3	3	3	1	13000
08/24/2022	4	4	4	2	50000
08/25/2022	5	1	5	1	23000
08/26/2022	1	1	6	2	54000
08/27/2022	2	2	7	1	16000
08/28/2022	3	3	8	1	14000
08/29/2022	4	4	9	2	34000
08/30/2022	5	1	10	1	18000
08/31/2022	1	1	1	1	15000
