Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
03/01/2022	1	3	2	1	12000
03/02/2022	2	4	3	2	26000
03/03/2022	3	1	4	1	25000
03/04/2022	4	2	5	2	46000
03/05/2022	5	3	6	1	27000
03/06/2022	1	3	7	1	16000
03/07/2022	2	4	8	1	14000
03/08/2022	3	1	9	2	34000
03/09/2022	4	2	10	1	18000
03/10/2022	5	3	1	1	15000
03/11/2022	1	3	2	1	12000
03/12/2022	2	4	3	2	26000
03/13/2022	3	1	4	1	25000
03/14/2022	4	2	5	1	23000
03/15/2022	5	3	6	2	54000
03/16/2022	1	3	7	1	16000
03/17/2022	2	4	8	1	14000
03/18/2022	3	1	9	1	17000
03/19/2022	4	2	10	2	36000
03/20/2022	5	3	1	1	15000
03/21/2022	1	3	2	1	12000
03/22/2022	2	4	3	1	13000
03/23/2022	3	1	4	2	50000
03/24/2022	4	2	5	1	23000
03/25/2022	5	3	6	1	27000
