Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
11/01/2022	1	1	1	2	30000
11/02/2022	2	2	2	1	12000
11/03/2022	3	3	3	1	13000
11/04/2022	4	4	4	2	50000
11/05/2022	5	1	5	1	23000
11/06/2022	1	1	6	2	54000
11/07/2022	2	2	7	1	16000
11/08/2022	3	3	8	1	14000
11/09/2022	4	4	9	2	34000
11/10/2022	5	1	10	1	18000
11/11/2022	1	1	1	1	15000
11/12/2022	2	2	2	1	12000
11/13/2022	3	3	3	2	26000
11/14/2022	4	4	4	1	25000
11/15/2022	5	1	5	1	23000
11/16/2022	1	1	6	2	54000
11/17/2022	2	2	7	1	16000
11/18/2022	3	3	8	1	14000
11/19/2022	4	4	9	2	34000
11/20/2022	5	1	10	1	18000
11/21/2022	1	1	1	1	15000
11/22/2022	2	2	2	1	12000
11/23/2022	3	3	3	1	13000
11/24/2022	4	4	4	2	50000
11/25/2022	5	1	5	1	23000
11/26/2022	1	1	6	2	54000
11/27/2022	2	2	7	1	16000
11/28/2022	3	3	8	1	14000
11/29/2022	4	4	9	2	34000
11/30/2022	5	1	10	1	18000
