Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
04/01/2022	1	1	2	2	24000
04/02/2022	2	2	3	1	13000
04/03/2022	3	3	4	2	50000
04/04/2022	4	4	5	1	23000
04/05/2022	5	1	6	2	54000
04/06/2022	1	1	7	1	16000
04/07/2022	2	2	8	1	14000
04/08/2022	3	3	9	2	34000
04/09/2022	4	4	10	1	18000
04/10/2022	5	1	1	1	15000
04/11/2022	1	1	2	1	12000
04/12/2022	2	2	3	2	26000
04/13/2022	3	3	4	1	25000
04/14/2022	4	4	5	1	23000
04/15/2022	5	1	6	2	54000
04/16/2022	1	1	7	1	16000
04/17/2022	2	2	8	1	14000
04/18/2022	3	3	9	1	17000
04/19/2022	4	4	10	2	36000
04/20/2022	5	1	1	1	15000
04/21/2022	1	1	2	1	12000
04/22/2022	2	2	3	1	13000
04/23/2022	3	3	4	2	50000
04/24/2022	4	4	5	1	23000
04/25/2022	5	1	6	1	27000
