Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
10/01/2024	1	1	3	2	24000
10/02/2024	2	2	4	1	14000
10/03/2024	3	3	5	3	54000
10/04/2024	4	4	6	2	48000
10/05/2024	5	1	7	1	25000
10/06/2024	1	1	8	2	36000
10/07/2024	2	2	9	3	42000
10/08/2024	3	3	10	1	17000
10/09/2024	4	4	1	2	26000
10/10/2024	5	1	2	1	19000
10/11/2024	1	1	3	3	36000
10/12/2024	2	2	4	1	14000
10/13/2024	3	3	5	2	36000
10/14/2024	4	4	6	1	24000
10/15/2024	5	1	7	2	50000
10/16/2024	1	1	8	1	18000
10/17/2024	2	2	9	3	42000
10/18/2024	3	3	10	2	34000
10/19/2024	4	4	1	1	13000
10/20/2024	5	1	2	2	38000
10/21/2024	1	1	3	3	36000
10/22/2024	2	2	4	1	14000
10/23/2024	3	3	5	2	36000
10/24/2024	4	4	6	1	24000
10/25/2024	5	1	7	2	50000
10/26/2024	1	1	8	1	18000
10/27/2024	2	2	9	3	42000
10/28/2024	3	3	10	2	34000
10/29/2024	4	4	1	1	13000
10/30/2024	5	1	2	2	38000
10/31/2024	1	1	3	3	36000
