Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
05/01/2024	1	1	2	2	30000
05/02/2024	2	2	3	3	45000
05/03/2024	3	3	4	1	13000
05/04/2024	4	4	5	2	50000
05/05/2024	5	1	6	2	46000
05/06/2024	1	1	7	1	27000
05/07/2024	2	2	8	3	48000
05/08/2024	3	3	9	2	28000
05/09/2024	4	4	10	1	17000
05/10/2024	5	1	1	2	36000
05/11/2024	1	1	2	1	15000
05/12/2024	2	2	3	2	30000
05/13/2024	3	3	4	3	39000
05/14/2024	4	4	5	1	25000
05/15/2024	5	1	6	1	23000
05/16/2024	1	1	7	1	27000
05/17/2024	2	2	8	2	32000
05/18/2024	3	3	9	3	42000
05/19/2024	4	4	10	1	17000
05/20/2024	5	1	1	2	36000
05/21/2024	1	1	2	1	15000
05/22/2024	2	2	3	2	30000
05/23/2024	3	3	4	3	39000
05/24/2024	4	4	5	2	50000
05/25/2024	5	1	6	2	46000
05/26/2024	1	1	7	1	27000
05/27/2024	2	2	8	1	16000
05/28/2024	3	3	9	1	14000
05/29/2024	4	4	10	2	34000
05/30/2024	5	1	1	2	36000
05/31/2024	1	1	2	1	15000
