Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
12/01/2024	1	1	3	2	24000
12/02/2024	2	2	4	1	14000
12/03/2024	3	3	5	3	54000
12/04/2024	4	4	6	2	48000
12/05/2024	5	1	7	1	25000
12/06/2024	1	1	8	2	36000
12/07/2024	2	2	9	3	42000
12/08/2024	3	3	10	1	17000
12/09/2024	4	4	1	2	26000
12/10/2024	5	1	2	1	19000
12/11/2024	1	1	3	3	36000
12/12/2024	2	2	4	1	14000
12/13/2024	3	3	5	2	36000
12/14/2024	4	4	6	1	24000
12/15/2024	5	1	7	2	50000
12/16/2024	1	1	8	1	18000
12/17/2024	2	2	9	3	42000
12/18/2024	3	3	10	2	34000
12/19/2024	4	4	1	1	13000
12/20/2024	5	1	2	2	38000
12/21/2024	1	1	3	3	36000
12/22/2024	2	2	4	1	14000
12/23/2024	3	3	5	2	36000
12/24/2024	4	4	6	1	24000
12/25/2024	5	1	7	2	50000
12/26/2024	1	1	8	1	18000
12/27/2024	2	2	9	3	42000
12/28/2024	3	3	10	2	34000
12/29/2024	4	4	1	1	13000
12/30/2024	5	1	2	2	38000
12/31/2024	1	1	3	3	36000
